[[0, 1], [1, 0]]
SIZE 8192, REAL_BD 403.402 MB/s, BD/PAIR 201.701 MB/s, time 0.0041 s, comm_vol 1.638 MB
SIZE 16384, REAL_BD 921.173 MB/s, BD/PAIR 460.586 MB/s, time 0.0036 s, comm_vol 3.277 MB
SIZE 24576, REAL_BD 2.852 GB/s, BD/PAIR 1.426 GB/s, time 0.0017 s, comm_vol 4.915 MB
SIZE 32768, REAL_BD 3.684 GB/s, BD/PAIR 1.842 GB/s, time 0.0018 s, comm_vol 6.554 MB
SIZE 40960, REAL_BD 4.491 GB/s, BD/PAIR 2.245 GB/s, time 0.0018 s, comm_vol 8.192 MB
SIZE 49152, REAL_BD 5.342 GB/s, BD/PAIR 2.671 GB/s, time 0.0018 s, comm_vol 9.83 MB
SIZE 57344, REAL_BD 6.048 GB/s, BD/PAIR 3.024 GB/s, time 0.0019 s, comm_vol 11.469 MB
SIZE 65536, REAL_BD 6.961 GB/s, BD/PAIR 3.48 GB/s, time 0.0019 s, comm_vol 13.107 MB
SIZE 81920, REAL_BD 8.541 GB/s, BD/PAIR 4.27 GB/s, time 0.0019 s, comm_vol 16.384 MB
SIZE 98304, REAL_BD 9.593 GB/s, BD/PAIR 4.797 GB/s, time 0.002 s, comm_vol 19.661 MB
SIZE 114688, REAL_BD 10.823 GB/s, BD/PAIR 5.412 GB/s, time 0.0021 s, comm_vol 22.938 MB
SIZE 131072, REAL_BD 12.116 GB/s, BD/PAIR 6.058 GB/s, time 0.0022 s, comm_vol 26.214 MB
SIZE 163840, REAL_BD 15.707 GB/s, BD/PAIR 7.854 GB/s, time 0.0021 s, comm_vol 32.768 MB
SIZE 196608, REAL_BD 17.927 GB/s, BD/PAIR 8.963 GB/s, time 0.0022 s, comm_vol 39.322 MB
SIZE 229376, REAL_BD 22.301 GB/s, BD/PAIR 11.151 GB/s, time 0.0021 s, comm_vol 45.875 MB
SIZE 262144, REAL_BD 23.84 GB/s, BD/PAIR 11.92 GB/s, time 0.0022 s, comm_vol 52.429 MB
SIZE 327680, REAL_BD 29.762 GB/s, BD/PAIR 14.881 GB/s, time 0.0022 s, comm_vol 65.536 MB
SIZE 393216, REAL_BD 36.077 GB/s, BD/PAIR 18.039 GB/s, time 0.0022 s, comm_vol 78.643 MB
SIZE 458752, REAL_BD 43.036 GB/s, BD/PAIR 21.518 GB/s, time 0.0021 s, comm_vol 91.75 MB
SIZE 524288, REAL_BD 48.277 GB/s, BD/PAIR 24.139 GB/s, time 0.0022 s, comm_vol 104.858 MB
SIZE 655360, REAL_BD 59.678 GB/s, BD/PAIR 29.839 GB/s, time 0.0022 s, comm_vol 131.072 MB
SIZE 786432, REAL_BD 70.587 GB/s, BD/PAIR 35.294 GB/s, time 0.0022 s, comm_vol 157.286 MB
SIZE 917504, REAL_BD 84.015 GB/s, BD/PAIR 42.007 GB/s, time 0.0022 s, comm_vol 183.501 MB
SIZE 1048576, REAL_BD 90.207 GB/s, BD/PAIR 45.104 GB/s, time 0.0023 s, comm_vol 209.715 MB
SIZE 1310720, REAL_BD 105.317 GB/s, BD/PAIR 52.659 GB/s, time 0.0025 s, comm_vol 262.144 MB
SIZE 1572864, REAL_BD 123.264 GB/s, BD/PAIR 61.632 GB/s, time 0.0026 s, comm_vol 314.573 MB
SIZE 1835008, REAL_BD 139.355 GB/s, BD/PAIR 69.678 GB/s, time 0.0026 s, comm_vol 367.002 MB
SIZE 2097152, REAL_BD 155.12 GB/s, BD/PAIR 77.56 GB/s, time 0.0027 s, comm_vol 419.43 MB
SIZE 2621440, REAL_BD 177.241 GB/s, BD/PAIR 88.62 GB/s, time 0.003 s, comm_vol 524.288 MB
SIZE 3145728, REAL_BD 200.108 GB/s, BD/PAIR 100.054 GB/s, time 0.0031 s, comm_vol 629.146 MB
SIZE 3670016, REAL_BD 215.425 GB/s, BD/PAIR 107.712 GB/s, time 0.0034 s, comm_vol 734.003 MB
SIZE 4194304, REAL_BD 229.723 GB/s, BD/PAIR 114.861 GB/s, time 0.0037 s, comm_vol 838.861 MB
SIZE 5242880, REAL_BD 253.431 GB/s, BD/PAIR 126.716 GB/s, time 0.0041 s, comm_vol 1.049 GB
SIZE 6291456, REAL_BD 269.145 GB/s, BD/PAIR 134.572 GB/s, time 0.0047 s, comm_vol 1.258 GB
SIZE 7340032, REAL_BD 283.067 GB/s, BD/PAIR 141.533 GB/s, time 0.0052 s, comm_vol 1.468 GB
SIZE 8388608, REAL_BD 294.048 GB/s, BD/PAIR 147.024 GB/s, time 0.0057 s, comm_vol 1.678 GB
SIZE 10485760, REAL_BD 297.961 GB/s, BD/PAIR 148.98 GB/s, time 0.007 s, comm_vol 2.097 GB
SIZE 12582912, REAL_BD 318.008 GB/s, BD/PAIR 159.004 GB/s, time 0.0079 s, comm_vol 2.517 GB
SIZE 14680064, REAL_BD 328.58 GB/s, BD/PAIR 164.29 GB/s, time 0.0089 s, comm_vol 2.936 GB
SIZE 16777216, REAL_BD 344.287 GB/s, BD/PAIR 172.143 GB/s, time 0.0097 s, comm_vol 3.355 GB
SIZE 20971520, REAL_BD 349.128 GB/s, BD/PAIR 174.564 GB/s, time 0.012 s, comm_vol 4.194 GB
SIZE 25165824, REAL_BD 361.88 GB/s, BD/PAIR 180.94 GB/s, time 0.0139 s, comm_vol 5.033 GB
SIZE 29360128, REAL_BD 366.952 GB/s, BD/PAIR 183.476 GB/s, time 0.016 s, comm_vol 5.872 GB
SIZE 33554432, REAL_BD 378.179 GB/s, BD/PAIR 189.09 GB/s, time 0.0177 s, comm_vol 6.711 GB
SIZE 41943040, REAL_BD 386.565 GB/s, BD/PAIR 193.282 GB/s, time 0.0217 s, comm_vol 8.389 GB
SIZE 50331648, REAL_BD 386.992 GB/s, BD/PAIR 193.496 GB/s, time 0.026 s, comm_vol 10.066 GB
SIZE 58720256, REAL_BD 396.032 GB/s, BD/PAIR 198.016 GB/s, time 0.0297 s, comm_vol 11.744 GB
SIZE 67108864, REAL_BD 399.936 GB/s, BD/PAIR 199.968 GB/s, time 0.0336 s, comm_vol 13.422 GB
SIZE 83886080, REAL_BD 408.226 GB/s, BD/PAIR 204.113 GB/s, time 0.0411 s, comm_vol 16.777 GB
SIZE 100663296, REAL_BD 413.118 GB/s, BD/PAIR 206.559 GB/s, time 0.0487 s, comm_vol 20.133 GB
SIZE 117440512, REAL_BD 417.608 GB/s, BD/PAIR 208.804 GB/s, time 0.0562 s, comm_vol 23.488 GB
SIZE 134217728, REAL_BD 421.07 GB/s, BD/PAIR 210.535 GB/s, time 0.0638 s, comm_vol 26.844 GB
SIZE 167772160, REAL_BD 422.086 GB/s, BD/PAIR 211.043 GB/s, time 0.0795 s, comm_vol 33.554 GB
SIZE 201326592, REAL_BD 423.263 GB/s, BD/PAIR 211.632 GB/s, time 0.0951 s, comm_vol 40.265 GB
SIZE 234881024, REAL_BD 427.857 GB/s, BD/PAIR 213.929 GB/s, time 0.1098 s, comm_vol 46.976 GB
SIZE 268435456, REAL_BD 430.244 GB/s, BD/PAIR 215.122 GB/s, time 0.1248 s, comm_vol 53.687 GB
SIZE 335544320, REAL_BD 449.341 GB/s, BD/PAIR 224.671 GB/s, time 0.1493 s, comm_vol 67.109 GB
SIZE 402653184, REAL_BD 452.721 GB/s, BD/PAIR 226.361 GB/s, time 0.1779 s, comm_vol 80.531 GB
SIZE 469762048, REAL_BD 452.509 GB/s, BD/PAIR 226.255 GB/s, time 0.2076 s, comm_vol 93.952 GB
SIZE 536870912, REAL_BD 451.784 GB/s, BD/PAIR 225.892 GB/s, time 0.2377 s, comm_vol 107.374 GB
SIZE 671088640, REAL_BD 453.519 GB/s, BD/PAIR 226.759 GB/s, time 0.2959 s, comm_vol 134.218 GB
SIZE 805306368, REAL_BD 453.994 GB/s, BD/PAIR 226.997 GB/s, time 0.3548 s, comm_vol 161.061 GB
SIZE 939524096, REAL_BD 450.303 GB/s, BD/PAIR 225.152 GB/s, time 0.4173 s, comm_vol 187.905 GB
SIZE 1073741824, REAL_BD 444.318 GB/s, BD/PAIR 222.159 GB/s, time 0.4833 s, comm_vol 214.748 GB
